#      mass       lower
 2.0042e-02  1.0000e+05
 2.0241e-02  7.7367e-03
 2.0770e-02  8.3033e-03
 2.1298e-02  8.4432e-03
 2.1825e-02  7.8460e-03
 2.2352e-02  7.7225e-03
 2.2878e-02  7.6114e-03
 2.3404e-02  7.3193e-03
 2.3929e-02  7.0187e-03
 2.4454e-02  6.5663e-03
 2.4979e-02  6.1470e-03
 2.5502e-02  5.8739e-03
 2.6026e-02  5.9053e-03
 2.6549e-02  5.8513e-03
 2.7071e-02  6.0629e-03
 2.7593e-02  6.6092e-03
 2.8114e-02  7.1147e-03
 2.8635e-02  7.5176e-03
 2.9156e-02  7.7190e-03
 2.9676e-02  7.8040e-03
 3.0195e-02  7.8934e-03
 3.0715e-02  8.1249e-03
 3.1236e-02  8.3024e-03
 3.1760e-02  7.5362e-03
 3.2285e-02  6.9200e-03
 3.2813e-02  5.9806e-03
 3.3342e-02  5.1289e-03
 3.3874e-02  4.6052e-03
 3.4408e-02  4.1828e-03
 3.4944e-02  4.1180e-03
 3.5482e-02  4.4308e-03
 3.6022e-02  4.5684e-03
 3.6564e-02  4.7061e-03
 3.7108e-02  4.5012e-03
 3.7655e-02  4.6207e-03
 3.8203e-02  5.0581e-03
 3.8753e-02  5.3245e-03
 3.9306e-02  5.6043e-03
 3.9861e-02  5.6548e-03
 4.0418e-02  6.0129e-03
 4.0976e-02  6.3259e-03
 4.1536e-02  6.6127e-03
 4.2096e-02  6.7022e-03
 4.2658e-02  6.4458e-03
 4.3220e-02  6.4472e-03
 4.3783e-02  6.2883e-03
 4.4347e-02  6.0864e-03
 4.4912e-02  6.1997e-03
 4.5478e-02  6.4543e-03
 4.6045e-02  6.1723e-03
 4.6613e-02  6.0594e-03
 4.7182e-02  5.4144e-03
 4.7752e-02  4.8292e-03
 4.8322e-02  3.8684e-03
 4.8894e-02  3.3525e-03
 4.9467e-02  3.0735e-03
 5.0040e-02  2.9833e-03
 5.0615e-02  3.1073e-03
 5.1187e-02  3.2218e-03
 5.1757e-02  3.3444e-03
 5.2325e-02  3.5926e-03
 5.2890e-02  4.0116e-03
 5.3453e-02  3.8172e-03
 5.4012e-02  3.8574e-03
 5.4569e-02  4.1090e-03
 5.5124e-02  4.2314e-03
 5.5676e-02  4.6105e-03
 5.6225e-02  5.1966e-03
 5.6772e-02  5.6287e-03
 5.7317e-02  5.7978e-03
 5.7859e-02  5.8938e-03
 5.8399e-02  5.8566e-03
 5.8935e-02  5.7951e-03
 5.9470e-02  5.8186e-03
 6.0002e-02  6.0337e-03
 6.0532e-02  6.1019e-03
 6.1060e-02  5.9585e-03
 6.1586e-02  5.6800e-03
 6.2112e-02  5.1470e-03
 6.2637e-02  4.4281e-03
 6.3160e-02  4.1757e-03
 6.3682e-02  3.9487e-03
 6.4204e-02  3.8899e-03
 6.4724e-02  3.8840e-03
 6.5243e-02  4.0106e-03
 6.5761e-02  3.9036e-03
 6.6277e-02  4.0787e-03
 6.6793e-02  3.9841e-03
 6.7308e-02  3.9276e-03
 6.7820e-02  4.0518e-03
 6.8333e-02  4.4016e-03
 6.8844e-02  4.5676e-03
 6.9354e-02  4.6990e-03
 6.9863e-02  4.7260e-03
 7.0372e-02  4.8261e-03
 7.0879e-02  4.2322e-03
 7.1389e-02  3.9954e-03
 7.1904e-02  3.8676e-03
 7.2421e-02  3.7457e-03
 7.2942e-02  3.7876e-03
 7.3467e-02  3.7097e-03
 7.3994e-02  3.5550e-03
 7.4525e-02  3.6026e-03
 7.5060e-02  3.7713e-03
 7.5598e-02  4.3192e-03
 7.6140e-02  5.0718e-03
 7.6685e-02  6.0952e-03
 7.7234e-02  6.7863e-03
 7.7786e-02  6.9067e-03
 7.8342e-02  6.6344e-03
 7.8902e-02  6.1107e-03
 7.9465e-02  5.8695e-03
 8.0032e-02  5.8088e-03
 8.0603e-02  5.2838e-03
 8.1175e-02  4.5490e-03
 8.1743e-02  3.7518e-03
 8.2309e-02  3.0636e-03
 8.2872e-02  2.7496e-03
 8.3432e-02  2.6492e-03
 8.3989e-02  2.7334e-03
 8.4544e-02  2.7961e-03
 8.5096e-02  3.0756e-03
 8.5644e-02  3.5216e-03
 8.6190e-02  3.9232e-03
 8.6734e-02  3.8992e-03
 8.7274e-02  3.8449e-03
 8.7812e-02  3.7080e-03
 8.8349e-02  3.7303e-03
 8.8881e-02  3.8093e-03
 8.9410e-02  4.0668e-03
 8.9938e-02  4.1206e-03
 9.0463e-02  4.3847e-03
 9.0985e-02  4.8721e-03
 9.1509e-02  5.2329e-03
 9.2034e-02  5.5871e-03
 9.2561e-02  5.6712e-03
 9.3089e-02  5.4467e-03
 9.3617e-02  4.9992e-03
 9.4148e-02  4.4702e-03
 9.4679e-02  3.9563e-03
 9.5213e-02  3.7404e-03
 9.5747e-02  3.8890e-03
 9.6282e-02  4.2396e-03
 9.6819e-02  4.6030e-03
 9.7358e-02  4.9607e-03
 9.7896e-02  5.1342e-03
 9.8438e-02  5.0461e-03
 9.8979e-02  5.0913e-03
 9.9523e-02  4.9186e-03
 1.0007e-01  4.3841e-03
 1.0061e-01  4.0143e-03
 1.0116e-01  3.4425e-03
 1.0171e-01  2.8855e-03
 1.0226e-01  2.5957e-03
 1.0281e-01  2.5040e-03
 1.0336e-01  2.5141e-03
 1.0391e-01  2.6294e-03
 1.0446e-01  2.7071e-03
 1.0501e-01  2.8178e-03
 1.0556e-01  2.9474e-03
 1.0612e-01  3.1351e-03
 1.0667e-01  3.4244e-03
 1.0722e-01  3.6647e-03
 1.0778e-01  3.7642e-03
 1.0833e-01  3.7902e-03
 1.0889e-01  3.7721e-03
 1.0945e-01  3.6513e-03
 1.1000e-01  3.4344e-03
 1.1056e-01  3.2732e-03
 1.1112e-01  3.1185e-03
 1.1168e-01  3.1355e-03
 1.1224e-01  3.1906e-03
 1.1280e-01  3.3447e-03
 1.1336e-01  3.4416e-03
 1.1392e-01  3.4426e-03
 1.1449e-01  3.3734e-03
 1.1505e-01  3.3091e-03
 1.1561e-01  3.3724e-03
 1.1618e-01  3.4394e-03
 1.1674e-01  3.3095e-03
 1.1731e-01  3.1273e-03
 1.1788e-01  2.9241e-03
 1.1844e-01  2.7841e-03
 1.1901e-01  2.7537e-03
 1.1958e-01  2.7953e-03
 1.2015e-01  2.9338e-03
 1.2072e-01  3.1492e-03
 1.2129e-01  3.3965e-03
 1.2186e-01  3.8278e-03
 1.2243e-01  4.1703e-03
 1.2301e-01  4.4786e-03
 1.2358e-01  4.7362e-03
 1.2415e-01  4.8292e-03
 1.2473e-01  4.7318e-03
 1.2530e-01  4.5950e-03
 1.2588e-01  4.4212e-03
 1.2645e-01  4.1447e-03
 1.2703e-01  4.0162e-03
 1.2761e-01  3.8648e-03
 1.2819e-01  3.7954e-03
 1.2877e-01  3.6672e-03
 1.2935e-01  3.6044e-03
 1.2993e-01  3.6693e-03
 1.3051e-01  3.8649e-03
 1.3109e-01  4.2324e-03
 1.3167e-01  4.5082e-03
 1.3225e-01  4.6667e-03
 1.3284e-01  4.6087e-03
 1.3342e-01  4.4149e-03
 1.3401e-01  4.2698e-03
 1.3459e-01  4.3522e-03
 1.3518e-01  4.3587e-03
 1.3577e-01  4.2793e-03
 1.3635e-01  4.1023e-03
 1.3694e-01  3.8745e-03
 1.3753e-01  3.7373e-03
 1.3812e-01  3.7819e-03
 1.3871e-01  3.8718e-03
 1.3930e-01  3.8685e-03
 1.3990e-01  3.7066e-03
 1.4049e-01  3.3737e-03
 1.4108e-01  3.0744e-03
 1.4167e-01  2.8185e-03
 1.4227e-01  2.5449e-03
 1.4286e-01  2.3401e-03
 1.4346e-01  2.2516e-03
 1.4406e-01  2.2290e-03
 1.4465e-01  2.2987e-03
 1.4525e-01  2.4379e-03
 1.4585e-01  2.5774e-03
 1.4645e-01  2.7605e-03
 1.4705e-01  3.0231e-03
 1.4765e-01  3.3316e-03
 1.4825e-01  3.5693e-03
 1.4885e-01  3.6316e-03
 1.4946e-01  3.3402e-03
 1.5006e-01  2.8937e-03
 1.5067e-01  2.5296e-03
 1.5127e-01  2.4976e-03
 1.5188e-01  2.7046e-03
 1.5248e-01  3.0466e-03
 1.5309e-01  3.3604e-03
 1.5370e-01  3.3624e-03
 1.5431e-01  3.3517e-03
 1.5492e-01  3.3866e-03
 1.5553e-01  3.6019e-03
 1.5614e-01  3.9251e-03
 1.5675e-01  4.2856e-03
 1.5736e-01  4.5733e-03
 1.5797e-01  4.6490e-03
 1.5859e-01  4.4972e-03
 1.5920e-01  4.2734e-03
 1.5981e-01  4.0300e-03
 1.6043e-01  3.8907e-03
 1.6105e-01  3.6093e-03
 1.6166e-01  3.2547e-03
 1.6228e-01  3.0296e-03
 1.6290e-01  2.8989e-03
 1.6352e-01  2.7528e-03
 1.6414e-01  2.6056e-03
 1.6476e-01  2.5317e-03
 1.6538e-01  2.4455e-03
 1.6600e-01  2.4806e-03
 1.6662e-01  2.5395e-03
 1.6725e-01  2.5943e-03
 1.6787e-01  2.7491e-03
 1.6850e-01  2.8862e-03
 1.6912e-01  3.1350e-03
 1.6975e-01  3.4608e-03
 1.7038e-01  3.8130e-03
 1.7100e-01  4.1886e-03
 1.7163e-01  4.5113e-03
 1.7226e-01  4.7986e-03
 1.7289e-01  4.8726e-03
 1.7352e-01  4.8606e-03
 1.7415e-01  4.7035e-03
 1.7479e-01  4.5702e-03
 1.7542e-01  4.4888e-03
 1.7605e-01  4.4852e-03
 1.7669e-01  4.4795e-03
 1.7732e-01  4.4680e-03
 1.7795e-01  4.1549e-03
 1.7859e-01  3.8458e-03
 1.7923e-01  3.5459e-03
 1.7987e-01  3.2096e-03
 1.8050e-01  3.0138e-03
 1.8114e-01  2.8885e-03
 1.8178e-01  2.8326e-03
 1.8243e-01  2.8039e-03
 1.8307e-01  2.6830e-03
 1.8371e-01  2.5672e-03
 1.8435e-01  2.5233e-03
 1.8500e-01  2.4732e-03
 1.8564e-01  2.4230e-03
 1.8628e-01  2.3595e-03
 1.8693e-01  2.3057e-03
 1.8758e-01  2.2682e-03
 1.8823e-01  2.3054e-03
 1.8887e-01  2.4783e-03
 1.8952e-01  2.7263e-03
 1.9017e-01  3.1238e-03
 1.9082e-01  3.2943e-03
 1.9147e-01  3.1424e-03
 1.9213e-01  2.8177e-03
 1.9278e-01  2.6373e-03
 1.9343e-01  2.6655e-03
 1.9409e-01  2.8230e-03
 1.9474e-01  2.9839e-03
 1.9540e-01  3.0990e-03
 1.9605e-01  3.1539e-03
 1.9671e-01  3.1508e-03
 1.9737e-01  3.1751e-03
 1.9803e-01  3.2929e-03
 1.9869e-01  3.4866e-03
 1.9935e-01  3.5600e-03
 2.0001e-01  3.6934e-03
 2.0067e-01  3.9331e-03
 2.0133e-01  4.2243e-03
 2.0199e-01  4.3809e-03
 2.0266e-01  4.3322e-03
 2.0332e-01  4.1458e-03
 2.0399e-01  3.9344e-03
 2.0465e-01  3.7514e-03
 2.0531e-01  3.7004e-03
 2.0598e-01  3.6972e-03
 2.0664e-01  3.6293e-03
 2.0731e-01  3.4610e-03
 2.0797e-01  3.2700e-03
 2.0864e-01  3.2532e-03
 2.0930e-01  3.3294e-03
 2.0997e-01  3.6502e-03
 2.1063e-01  3.9428e-03
 2.1130e-01  4.1024e-03
 2.1197e-01  3.7596e-03
 2.1263e-01  3.5021e-03
 2.1271e-01  2.1691e-03
 2.1274e-01  2.0016e-03
 2.1277e-01  1.8568e-03
 2.1280e-01  1.8016e-03
 2.1284e-01  1.7465e-03
 2.1287e-01  1.7364e-03
 2.1291e-01  1.7447e-03
 2.1295e-01  1.8034e-03
 2.1300e-01  1.8924e-03
 2.1305e-01  1.9758e-03
 2.1311e-01  2.0376e-03
 2.1316e-01  2.0472e-03
 2.1321e-01  1.9949e-03
 2.1327e-01  1.9276e-03
